age,T,NO,CO,mdot_main,mdot_fuel_sec,mdot_air_sec,reward
13.80499999999631,1603.1001121716197,0.12284747975008045,47.177760687868435,10.392030715942383,0.0,0.0,-574.1636962890625
13.80599999999631,1603.105559796803,0.12282535178794583,47.38080646147622,10.084881782531738,0.0,0.0,-579.80078125
13.806999999996307,1603.1068387687353,0.12280160933973412,47.596199486471185,9.893461227416992,0.0,0.7232635021209717,-585.900390625
13.807999999996307,1603.1117602847444,0.12277700699573446,47.8162824731469,10.49600887298584,0.0,0.0,-592.251953125
13.808999999996306,1603.1145553880774,0.12275240248997173,48.0372126306014,9.140345573425293,0.10139167308807373,0.0,-598.7573852539062
13.809999999996306,1603.1181267829759,0.12272770597167626,48.2587471065479,12.187586784362793,0.0,0.0,-605.4085083007812
13.810999999996305,1603.1228091529363,0.12270403327675695,48.47848949966621,10.409708976745605,0.0,0.0,-612.1334228515625
13.811999999996305,1603.1276070839294,0.12268139653166556,48.692028253100005,9.91707992553711,0.0,0.0,-618.7925415039062
13.812999999996304,1603.131442187965,0.12265973870772927,48.89590568736809,10.870800018310547,0.0,0.0,-625.2667846679688
13.813999999996303,1603.1353536832114,0.12263972889494683,49.08832919048436,10.346128463745117,0.0,0.0,-631.481689453125
13.814999999996303,1603.1386396152368,0.12262129744080115,49.267406709780914,10.783496856689453,0.0,0.0,-637.358154296875
13.8159999999963,1603.1417528328393,0.12260474547557704,49.43222035346272,10.583498001098633,0.0,0.0,-642.8458251953125
13.8169999999963,1603.1395397450838,0.12258914817523102,49.5836851586584,11.481708526611328,0.1541205644607544,0.0,-647.9627075195312
13.8179999999963,1603.1431520715628,0.122576038364777,49.730505332153314,9.767193794250488,0.0,0.0,-652.9777221679688
13.818999999996299,1603.1470168087112,0.1225641207269238,49.87132120600527,9.251812934875488,0.0,0.0,-657.8448486328125
13.819999999996298,1603.1503307824687,0.12255317012594415,50.00336826764811,9.741419792175293,0.0,0.0,-662.4611206054688
13.820999999996298,1603.151242841316,0.12254263645578448,50.12408718710418,12.753191947937012,0.0,0.0,-666.7283325195312
13.821999999996297,1603.1543532294788,0.12253439405403117,50.23418620028804,9.325824737548828,0.0,0.0,-670.6549072265625
13.822999999996297,1603.157135530449,0.12252758241415103,50.33174521055999,9.406736373901367,0.0,0.0,-674.16455078125
13.823999999996296,1603.1596278662926,0.12252227113176854,50.41625256346371,9.431208610534668,0.0,0.0,-677.2281494140625
13.824999999996296,1603.1631578867416,0.12251898375413961,50.48799947643484,7.607320785522461,0.0,0.0,-679.8453369140625
13.825999999996293,1603.1656064295846,0.12251691389714396,50.54599109007974,8.742586135864258,0.0,0.0,-681.97412109375
13.826999999996293,1603.1671259079155,0.12251609298639796,50.590355201895115,9.673212051391602,0.0,0.0,-683.612060546875
13.827999999996292,1603.1687310351317,0.12251686315134394,50.62170642238308,9.198613166809082,0.0,0.0,-684.7753295898438
13.828999999996292,1603.1693746081496,0.12251877593011436,50.639859187865596,10.193914413452148,0.0,0.0,-685.4547729492188
13.829999999996291,1603.1687310742843,0.12252164723056952,50.64500314586302,11.65399169921875,0.0,0.0,-685.6556396484375
13.83099999999629,1603.1682707757243,0.12252596654861189,50.6381493171341,11.075377464294434,0.0,0.0,-685.4129028320312
13.83199999999629,1603.1702118171445,0.12253250377702674,50.62066345510624,7.414999485015869,0.0,0.0,-684.775146484375
13.83299999999629,1603.1712742291345,0.12253994826904666,50.591564956470194,8.339102745056152,0.0,0.0,-683.7117309570312
13.833999999996289,1603.1707517742345,0.12254796030929689,50.550996731262344,10.259421348571777,0.0,0.0,-682.231689453125
13.834999999996288,1603.1698159909297,0.12255691044861991,50.499916651861085,10.557368278503418,0.0,0.0,-680.3727416992188
13.835999999996286,1603.1683549677612,0.12256668512358611,50.43873156199138,11.022385597229004,0.0,0.0,-678.1544799804688
13.836999999996285,1603.1679160154074,0.12257780052626421,50.36855637120571,9.33986759185791,0.0,0.0,-675.6207885742188
13.837999999996285,1603.1664568981912,0.12258941640526436,50.28896056247837,10.516233444213867,0.0,0.0,-672.7639770507812
13.838999999996284,1603.165613595255,0.12260208652610548,50.2010815739478,9.420615196228027,0.0,0.0,-669.6292724609375
13.839999999996284,1603.164753616613,0.1226155088033029,50.10507406147662,9.216963768005371,0.0,0.0,-666.2290649414062
13.840999999996283,1603.1631921098574,0.12262936314998696,50.001061575286066,9.978291511535645,0.0,0.0,-662.5750732421875
13.841999999996283,1603.1618727953637,0.12264394915591172,49.88984796357311,9.432016372680664,0.0,0.0,-658.7012329101562
13.842999999996282,1603.1596349921915,0.12265877153417837,49.771329660127265,10.514161109924316,0.0,0.0,-654.612060546875
13.843999999996282,1603.1567060691646,0.1226738632450027,49.645981006171226,11.287721633911133,0.0,0.0,-650.33056640625
13.844999999996281,1603.1543245507137,0.12268964404474687,49.51468698400834,10.340860366821289,0.0,0.0,-645.8921508789062
13.845999999996279,1603.1522349666707,0.12270597016519158,49.377685161228584,9.758153915405273,0.0,0.0,-641.3114013671875
13.846999999996278,1603.1511296123408,0.12272306027268212,49.23559703943148,8.216290473937988,0.0,0.0,-636.6142578125
13.847999999996278,1603.137091156956,0.12273775905390337,49.09196198410375,12.199767112731934,0.3531278371810913,0.0,-631.9378051757812
13.848999999996277,1603.135636497715,0.12275340768843589,48.96897955389018,10.208332061767578,0.0,0.0,-627.968017578125
13.849999999996276,1603.1332883135624,0.12276670735203055,48.86344194008839,11.955891609191895,0.0,0.0,-624.5970458984375
13.850999999996276,1603.1331628989874,0.12277915696719603,48.770894362596856,8.759300231933594,0.0,0.03620028495788574,-621.6649169921875
13.851999999996275,1603.1327218712188,0.12279007749063718,48.68566588206059,9.537250518798828,0.0,0.0,-618.9864501953125
13.852999999996275,1603.1325236303344,0.12280019894894063,48.60468522540975,9.147588729858398,0.0,0.0,-616.4599609375
13.853999999996274,1603.1317372693695,0.12280957003691464,48.52501739630425,9.863941192626953,0.0,0.0,-613.9924926757812
13.854999999996274,1603.1315218152736,0.12281891787824253,48.44516964737684,8.927738189697266,0.0,0.0,-611.535888671875
13.855999999996271,1603.1294833832217,0.12282754817805464,48.362669060533854,11.31536865234375,0.0,0.0,-609.0173950195312
13.85699999999627,1603.126150864343,0.12283582217274339,48.27663120061075,12.95186710357666,0.0,0.0,-606.4112548828125
